url,url_immagini
https://comics.panini.it/store/pub_ita_it/mma20064r2-it-manga-2000-dorohedoro-5-seconda-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMA20064R2_0.jpg
https://comics.panini.it/store/pub_ita_it/mmasho015r2-it-manga-shock-l-attacco-dei-giganti-lost-girls-1-seconda-r.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMASHO015R2_0.jpg
https://comics.panini.it/store/pub_ita_it/mragn003isbn-it-ragna-crimson-ragna-crimson-3-libro-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/R/MRAGN003ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mbeas010isbnr-it-beastars-beastars-10-prima-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/B/MBEAS010ISBNR_0.jpg
https://comics.panini.it/store/pub_ita_it/mdoro020isbnr-it-dorohedoro-dorohedoro-20-prima-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/D/MDORO020ISBNR_0.jpg
https://comics.panini.it/store/pub_ita_it/mmaon033r-it-manga-one-one-punch-man-12-prima-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMAON033R_0.jpg
https://comics.panini.it/store/pub_ita_it/mpwrs010-it-powers-powers-n-10.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/P/MPWRS010_0.jpg
https://comics.panini.it/store/pub_ita_it/mfmal019r4-it-fullmetal-alchemist-fullmetal-alchemist-19-quarta-ristampa.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/F/MFMAL019R4_0.jpg
https://comics.panini.it/store/pub_ita_it/mmasa049-it-manga-saga-manga-saga-n-49.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMASA049_0.jpg
https://comics.panini.it/store/pub_ita_it/mplma129r-it-planet-manga-boruto-naruto-next-generations-3-prima-rist.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/P/MPLMA129R_0.jpg
https://comics.panini.it/store/pub_ita_it/mhomu010isbnr2-it-homunculus-homunculus-10-seconda-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/H/MHOMU010ISBNR2_0.jpg
https://comics.panini.it/store/pub_ita_it/mnote013r4-it-death-note-death-note-13-quarta-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOTE013R4_0.jpg
https://comics.panini.it/store/pub_ita_it/mmsun132-it-manga-sun-manga-sun-fire-force-21.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMSUN132_0.jpg
https://comics.panini.it/store/pub_ita_it/mnote010r6-it-death-note-death-note-10-sesta-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOTE010R6_0.jpg
https://comics.panini.it/store/pub_ita_it/mblea025r2-it-bleach-bleach-25-seconda-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/B/MBLEA025R2_0.jpg
https://comics.panini.it/store/pub_ita_it/mblbu025r-it-black-butler-black-butler-25-prima-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/B/MBLBU025R_0.jpg
https://comics.panini.it/store/pub_ita_it/mmafi019r2-it-manga-fight-assassination-classroom-4-seconda-ristampa-is.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMAFI019R2_0.jpg
https://comics.panini.it/store/pub_ita_it/mnote011r6-it-death-note-death-note-11-sesta-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNOTE011R6_0.jpg
https://comics.panini.it/store/pub_ita_it/mkeng010isbn-it-kengan-ashura-kengan-ashura-n-10.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/K/MKENG010ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mwooi004isbn-it-wotakoi-wotakoi-n-4.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/W/MWOOI004ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mmaze032-it-manga-zero-manga-zero-maken-ki-24.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMAZE032_0.jpg
https://comics.panini.it/store/pub_ita_it/mblea011r4-it-bleach-bleach-11-quarta-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/B/MBLEA011R4_0.jpg
https://comics.panini.it/store/pub_ita_it/mnaru018r4-it-naruto-il-mito-naruto-il-mito-18-quarta-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNARU018R4_0.jpg
https://comics.panini.it/store/pub_ita_it/mgema002r5-it-generation-manga-l-attacco-dei-giganti-2-quinta-ristampa.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/G/MGEMA002R5_0.jpg
https://comics.panini.it/store/pub_ita_it/mnaru023r3-it-naruto-il-mito-naruto-il-mito-23-terza-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNARU023R3_0.jpg
https://comics.panini.it/store/pub_ita_it/mevnc001r3-it-evangelion-new-collection-neon-genesis-evangelion-1-terza.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/E/MEVNC001R3_0.jpg
https://comics.panini.it/store/pub_ita_it/mhuxh011r3-it-hunter-x-hunter-hunter-x-hunter-11-terza-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/H/MHUXH011R3_0.jpg
https://comics.panini.it/store/pub_ita_it/mnaru014r3-it-naruto-il-mito-naruto-il-mito-14-terza-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNARU014R3_0.jpg
https://comics.panini.it/store/pub_ita_it/mgema026r-it-generation-manga-l-attacco-dei-giganti-26-prima-ristampa.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/G/MGEMA026R_0.jpg
https://comics.panini.it/store/pub_ita_it/mnaru027r2-it-naruto-il-mito-naruto-il-mito-27-seconda-ristampa-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNARU027R2_0.jpg
https://comics.panini.it/store/pub_ita_it/mslar002isbn-it-slam-dunk-illustrations-2-slam-dunk-illustration-copia.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/S/MSLAR002ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mvakn005isbn-it-vampire-knight-memories-vampire-knight-memories-n-5.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/V/MVAKN005ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mgema031-it-generation-manga-generation-manga-l-attacco-dei-giganti-n.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/G/MGEMA031_0.jpg
https://comics.panini.it/store/pub_ita_it/mlocr001isbn-it-saint-seiya-lost-canvas-artb-saint-seiya-lost-canvas-a.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/L/MLOCR001ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mimmk009isbn-it-l-immortale-kanzenban-l-immortale-kanzenban-n-9.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/I/MIMMK009ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mvaco005isbnr2-it-vagabond-collection-vagabond-deluxe-5-seconda-ristampa-is.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/V/MVACO005ISBNR2_0.jpg
https://comics.panini.it/store/pub_ita_it/mmame037-it-manga-mega-manga-mega-we-never-learn-3.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/M/MMAME037_0.jpg
https://comics.panini.it/store/pub_ita_it/mnons002isbn-it-non-sono-un-angelo-non-sono-un-angelo-2-libro-isbn.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNONS002ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/myouj016isbn-it-youjo-senki-saga-of-tanya-the-evil-n-16.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/Y/MYOUJ016ISBN_0.jpg
https://comics.panini.it/store/pub_ita_it/mnaoa013isbn-it-nana-original-anime-edition-nana-reloaded-edition-n-13.html,https://comics.panini.it/store/media/catalog/product/cache/80/small_image/9df78eab33525d08d6e5fb8d27136e95/M/N/MNAOA013ISBN_0.jpg
